id,created_at,lignes,colonnes,couleur_depart,joueur_courant,statut,resultat,confiance,coups,coups_sym,coups_can
19057,2026-03-14 20:44:30.284762,9,9,1,2,finished,jaune,2,79566556657777699637769667723399333322332222229998818811111111444485,31544554453333411473341443387711777788778888881112292299999999666625,31544554453333411473341443387711777788778888881112292299999999666625
19073,2026-03-14 20:44:33.006368,9,9,1,1,finished,rouge,2,6754577655657757757553299979999222992221111221111183333333366666644,4356533455453353353557811131111888118889999889999927777777744444466,4356533455453353353557811131111888118889999889999927777777744444466
17250,2026-03-14 17:27:48.187951,9,9,1,2,finished,jaune,2,4256522564466556566556888888856122121121188311221977799999999777,6854588546644554544554222222254988989989922799889133311111111333,4256522564466556566556888888856122121121188311221977799999999777
17251,2026-03-14 17:27:48.425379,9,9,1,1,finished,rouge,2,154254456366655266556312221156888288288597719116288211333333377,956856654744455844554798889954222822822513391994822899777777733,154254456366655266556312221156888288288597719116288211333333377
19084,2026-03-14 20:44:35.321362,9,9,1,1,finished,rouge,2,1365255636546566335523222636652233532111119772999199119998844,9745855474564544775587888474458877578999991338111911991112266,1365255636546566335523222636652233532111119772999199119998844
17408,2026-03-14 17:28:09.717303,9,9,1,2,finished,jaune,2,2754455465344554455241574622227776,8356655645766556655869536488883334,2754455465344554455241574622227776
23583,2026-03-14 21:12:10.413096,9,9,1,1,finished,rouge,2,825775855877558899745442444422774759117415889221112221188999991333333333666,285335255233552211365668666688336351993695221889998889922111119777777777444,285335255233552211365668666688336351993695221889998889922111119777777777444
17255,2026-03-14 17:27:48.891948,9,9,1,1,finished,rouge,2,52675743477544693,58435367633566417,52675743477544693
17256,2026-03-14 17:27:48.891364,9,9,1,1,finished,rouge,2,354141535455447715455441115491188888818889299992222222233399933337777777666,756969575655663395655669995619922222292221811118888888877711177773333333444,354141535455447715455441115491188888818889299992222222233399933337777777666
18157,2026-03-14 20:41:40.627487,9,9,1,2,finished,jaune,2,245544563546666559665526333223378837,865566547564444551445584777887732273,245544563546666559665526333223378837
17258,2026-03-14 17:27:49.357423,9,9,1,2,finished,jaune,2,94554567766556625655669999291196222522211911191213333333338777777788888888,16556543344554485455441111819914888588899199919897777777772333333322222222,16556543344554485455441111819914888588899199919897777777772333333322222222
39837,2026-03-14 22:08:31.490284,9,9,1,1,finished,rouge,2,396556596996453344464544556635132,714554514114657766646566554475978,396556596996453344464544556635132
17260,2026-03-14 17:27:49.697265,9,9,1,1,finished,rouge,2,3345543441334144331174731771711477838888659,7765567669776966779936379339399633272222451,3345543441334144331174731771711477838888659
18362,2026-03-14 20:42:21.115012,9,9,1,1,finished,rouge,2,4846579732534455337477554588856,6264531378576655773633556522254,4846579732534455337477554588856
17262,2026-03-14 17:27:49.792446,9,9,1,2,finished,jaune,2,76676576743766776344433433446432737643999999999222222221181111555555,34434534367344334766677677664678373467111111111888888889929999555555,34434534367344334766677677664678373467111111111888888889929999555555
21836,2026-03-14 21:06:23.810081,9,9,1,1,finished,rouge,2,75696957565566339565566999569991811112224422221121288888888177777773334,35414153545544771545544111541119299998886688889989822222222933333337776,35414153545544771545544111541119299998886688889989822222222933333337776
17264,2026-03-14 17:27:50.434264,9,9,1,1,finished,rouge,2,95676556657777696655355699123333331165222222111123299939911888887877788,15434554453333414455755411987777779945888888999987811171199222223233322,15434554453333414455755411987777779945888888999987811171199222223233322
17265,2026-03-14 17:27:50.480900,9,9,1,2,finished,jaune,2,756856654566588886655886556882221222212112111113343333333999977747,354254456544522224455224554228889888898998999997767777777111133363,354254456544522224455224554228889888898998999997767777777111133363
17266,2026-03-14 17:27:50.565773,9,9,1,2,finished,jaune,2,54554466786545544258488123,56556644324565566852622987,54554466786545544258488123
17267,2026-03-14 17:27:50.571310,9,9,1,2,finished,jaune,2,8655665475644477746556777661445556132233,2455445635466633364554333449665554978877,2455445635466633364554333449665554978877
17268,2026-03-14 17:27:50.834709,9,9,1,1,finished,rouge,2,265455466728972278988752277664445645655888658618112221111999911999343,845655644382138832122358833446665465455222452492998889999111199111767,265455466728972278988752277664445645655888658618112221111999911999343
21955,2026-03-14 21:06:51.268595,9,9,1,1,finished,rouge,2,644233443354665553728,466877667756445557382,466877667756445557382
30400,2026-03-14 21:28:34.651425,9,9,1,1,finished,rouge,2,7765567669776966779936379339399633272222144,3345543441334144331174731771711477838888966,3345543441334144331174731771711477838888966
17271,2026-03-14 17:27:51.551712,9,9,1,1,finished,rouge,2,5267574343443355747755454458878888778898995479999991111111113333366,5843536767667755363355656652232222332212115631111119999999997777744,5267574343443355747755454458878888778898995479999991111111113333366
18637,2026-03-14 20:43:12.750781,9,9,1,1,finished,rouge,2,639753325565755377977335533779991211159311979911166666664444444442222222888,471357785545355733133775577331119899951799131199944444446666666668888888222,471357785545355733133775577331119899951799131199944444446666666668888888222
17273,2026-03-14 17:27:51.724939,9,9,1,2,finished,jaune,2,956765566577776966553556991233333365111122222211328993298988987847,154345544533334144557554119877777745999988888899782117812122123263,154345544533334144557554119877777745999988888899782117812122123263
22162,2026-03-14 21:07:30.254429,9,9,1,2,finished,jaune,2,7356655677766377667333679991991422422996272233323828888888899144,3754455433344733443777431119119688688114838877787282222222211966,3754455433344733443777431119119688688114838877787282222222211966
22258,2026-03-14 21:07:47.647356,9,9,1,1,finished,rouge,2,1335455658767766556338933556662563111111331199244,9775655452343344554772177554448547999999779911866,1335455658767766556338933556662563111111331199244
22349,2026-03-14 21:08:06.412571,9,9,1,2,finished,jaune,2,874554554465455441541548111188666771118887889399999999222222222666667777,236556556645655669569562999922444339992223221711111111888888888444443333,236556556645655669569562999922444339992223221711111111888888888444443333
22435,2026-03-14 21:08:23.666047,9,9,1,2,finished,jaune,2,2343433445434433777793688488788774838877999999991111111112222222,8767677665676677333317422622322336272233111111119999999998888888,2343433445434433777793688488788774838877999999991111111112222222
17278,2026-03-14 17:27:52.823147,9,9,1,1,finished,rouge,2,8945545544654554485488666999883145199888111199911176666677722222222327733,2165565566456556625622444111227965911222999911199934444433388888888783377,2165565566456556625622444111227965911222999911199934444433388888888783377
17279,2026-03-14 17:27:52.865230,9,9,1,1,finished,rouge,2,155466356757764333776767765553356763512222184,955644754353346777334343345557754347598888926,155466356757764333776767765553356763512222184
17280,2026-03-14 17:27:52.997676,9,9,1,2,finished,jaune,2,679677658766776976679993233252322355555557223333999962111114,431433452344334134431117877858788755555553887777111148999996,431433452344334134431117877858788755555553887777111148999996
17281,2026-03-14 17:27:53.047370,9,9,1,2,finished,jaune,2,7215445546546666557776655776777611151131331334444419999999998822,3895665564564444553334455334333499959979779776666691111111112288,3895665564564444553334455334333499959979779776666691111111112288
18872,2026-03-14 20:43:56.490886,9,9,1,1,finished,rouge,2,843754554453753343343788434777788855575784883111111111229999999992222,267356556657357767767322676333322255535326227999999999881111111118888,267356556657357767767322676333322255535326227999999999881111111118888
